INDEX_WORD 	( MESSAGE BIT )	   EQUIPAMENTO	        DESCRIÇÃO FALHAS
Word_17	         0	           AL_EnchimentoRG	     DISPARO PROTEÇÃO 24VDC ENTRADAS ANALÓGICAS
Word_17	1	AL_EnchimentoRG	DISPARO PROTEÇÃO DESCARREGADAOR SOBRETENSÕES
Word_17	2	AL_EnchimentoRG	DEFEITO DESCARREGADOR SOBRETENSÕES
Word_17	3	AL_EnchimentoRG	DISPARO PROTEÇÃO ALIM. ANALISADOR ENERGIA
Word_17	4	AL_EnchimentoRG	FALTA ALIMENTAÇÃO 220 VDC
Word_17	5	AL_EnchimentoRG	FALHA COMUNICAÇÃO COM SALA DE COMANDO
Word_17	6	AL_EnchimentoRG	BY-PASS CONDIÇOES REMOTAS ABERTURA COMPORTAS ATIVADO!!!!!
Word_17	7	AL_EnchimentoRG	RESERVA
Word_17	8	AL_EnchimentoRG	EMERGÊNCIA ATIVADA
Word_17	9	AL_EnchimentoRG	DEFEITO/ALARME FONTE ALIMENTAÇÃO 400VAC/24VDC
Word_17	10	AL_EnchimentoRG	DEFEITO/ALARME FONTE ALIMENTAÇÃO 220VDC/24VDC
Word_17	11	AL_EnchimentoRG	DISPARO INTERRUPTOR GERAL ALIMENTAÇÃO 3X400VAC
Word_17	12	AL_EnchimentoRG	FALTA ALIMENTAÇÃO FORÇA MOTRIZ 3X400VAC
Word_17	13	AL_EnchimentoRG	DISPARO PROTEÇÃO 24VDC ENTRADAS DIGITAIS
Word_17	14	AL_EnchimentoRG	DISPARO PROTEÇÃO 24VDC SAIDAS DIGITAIS
Word_17	15	AL_EnchimentoRG	DISPARO PROTEÇÃO 24VDC QUADRO FORÇA MOTRIZ
Word_18	0	AL_EnchimentoRG	RESERVA
Word_18	1	AL_EnchimentoRG	RESERVA
Word_18	2	AL_EnchimentoRG	RESERVA
Word_18	3	AL_EnchimentoRG	RESERVA
Word_18	4	AL_EnchimentoRG	DEFEITO AUTOMATO ERRO DIAGNOSTICO
Word_18	5	AL_EnchimentoRG	DEFEITO AUTOMATO ERRO PROGRAMA
Word_18	6	AL_EnchimentoRG	DEFEITO AUTOMATO ERRO MODULOS
Word_18	7	AL_EnchimentoRG	DEFEITO AUTOMATO ERRO BASTIDOR
Word_18	8	AL_EnchimentoRG	DEFEITO RESPOSTA DE MARCHA BOMBA A COMPORTA DIREITA
Word_18	9	AL_EnchimentoRG	DEFEITO ARRANCADOR SUAVE BOMBA A COMPORTA DIREITA
Word_18	10	AL_EnchimentoRG	DISPARO PROTEÇÃO BOMBA A COMPORTA DIREITA
Word_18	11	AL_EnchimentoRG	DISPARO PROTEÇÃO VALVULA DISTRIBUIÇÃO COMPORTA DIREITA
